,month,year,vazao,data_ticks
359,5,1994,179.919,1994-5
360,6,1994,167.02,1994-6
361,7,1994,153.35399999999998,1994-7
362,8,1994,138.983,1994-8
363,9,1994,130.17600000000002,1994-9
364,10,1994,138.115,1994-10
365,11,1994,193.69799999999998,1994-11
366,12,1994,251.917,1994-12
367,1,1995,266.47,1995-1
368,2,1995,279.254,1995-2
369,3,1995,264.445,1995-3
370,4,1995,305.89799999999997,1995-4
371,5,1995,235.44299999999998,1995-5
372,6,1995,179.845,1995-6
373,7,1995,157.695,1995-7
374,8,1995,144.553,1995-8
375,9,1995,132.54,1995-9
376,10,1995,144.09799999999998,1995-10
377,11,1995,222.578,1995-11
378,12,1995,281.356,1995-12
379,1,1996,273.473,1996-1
380,2,1996,241.106,1996-2
381,3,1996,279.327,1996-3
382,4,1996,269.305,1996-4
383,5,1996,211.635,1996-5
384,6,1996,165.41099999999997,1996-6
385,7,1996,151.101,1996-7
386,8,1996,138.743,1996-8
387,9,1996,129.5,1996-9
388,10,1996,156.784,1996-10
389,11,1996,226.87,1996-11
390,12,1996,202.002,1996-12
391,1,1997,344.20099999999996,1997-1
392,2,1997,226.937,1997-2
393,3,1997,442.30400000000003,1997-3
394,4,1997,350.99699999999996,1997-4
395,5,1997,237.215,1997-5
396,6,1997,185.394,1997-6
397,7,1997,166.394,1997-7
398,8,1997,152.089,1997-8
399,9,1997,148.929,1997-9
400,10,1997,156.651,1997-10
401,11,1997,169.456,1997-11
402,12,1997,227.493,1997-12
403,1,1998,248.572,1998-1
404,2,1998,232.96400000000003,1998-2
405,3,1998,236.81900000000002,1998-3
406,4,1998,173.8,1998-4
407,5,1998,174.608,1998-5
408,6,1998,143.295,1998-6
409,7,1998,133.82399999999998,1998-7
410,8,1998,124.07600000000001,1998-8
411,9,1998,119.539,1998-9
412,10,1998,131.498,1998-10
413,11,1998,235.078,1998-11
414,12,1998,251.332,1998-12
415,1,1999,265.689,1999-1
416,2,1999,255.59400000000002,1999-2
417,3,1999,285.027,1999-3
418,4,1999,185.65599999999998,1999-4
419,5,1999,183.34,1999-5
420,6,1999,154.96,1999-6
421,7,1999,145.504,1999-7
422,8,1999,138.933,1999-8
423,9,1999,149.803,1999-9
424,10,1999,153.61700000000002,1999-10
425,11,1999,240.99,1999-11
426,12,1999,348.99199999999996,1999-12
427,1,2000,343.858,2000-1
428,2,2000,343.35900000000004,2000-2
429,3,2000,309.64599999999996,2000-3
430,4,2000,277.77,2000-4
431,5,2000,205.09799999999998,2000-5
432,6,2000,177.356,2000-6
433,7,2000,166.58900000000003,2000-7
